"Geschlecht","Alter","AnzahlGeschwister","WohnortMuenster","Wohntyp","Wohnflaeche","Wohnzufriedenheit","Wohnkosten","FahrzeitRadDom","MatheVorkurs","Studiengang","Lehre","AnderesStudium","Bundesland","EntfernungSchule","Abiturnote","Mathematik","SoWi","Spanisch","Informatik","Deutsch","Sport","Musik","Englisch","Physik","Erdkunde","Geschichte","Chemie","Kunst","Biologie","Franzoesisch","Wirtschaft","Keine","Textfeld","MathenoteDurchschnitt","Auslandsaufenthalt","Nebenjob","Bafoeg","Monatsbudget","Verkehrsmittel","SozialesEngagement","Buecher","ErwartetesGehalt","40Prozent","60Prozent","Medienvertrauen"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",21,"1","ja","alleine in einer Wohnung",16.5,"es ist okay",300,"zwischen 15 und 20 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",1.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"9","nein",10,0,650,"ÖPNV",0,"51-100",40000,"40","3/5",43
"weiblich",20,"1","ja","in einer WG",16,"zufrieden",510,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Wirtschaftspolitik","10","nein",0,240,NA,"Fahrrad",0,"101-500",NA,"40","3/5",71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",22,"1","ja","alleine in einer Wohnung",30,"zufrieden",400,"zwischen 2 und 5 min","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,NA,"Fahrrad",0,"101-500",45000,"40","60",86
"männlich",20,"3","ja","alleine in einer Wohnung",15,"zufrieden",428,"weniger als 2 min","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","100-200 km",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","ja",0,0,1200,"Fahrrad",4,"101-500",30000,"40","60",63
"männlich",20,"1","nein","bei meinen Eltern",75,"zufrieden",770,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",1.5,0,250,"ÖPNV",0,"501-1000",40000,"40","30",71
"männlich",20,"1","ja","zusammen mit meinem Partner/meiner Partnerin",54,"sehr zufrieden",1075,"zwischen 5 und 10 min","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","50-100 km",2.4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"9","nein",6,554,850,"Fahrrad",0,"1-50",3500,"40","60",85
"männlich",19,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",20,"0","ja","in einer WG",14,"zufrieden",500,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","200-500 km",2.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Politik-Wirtschaft","8","nein",0,0,NA,"Fahrrad",0,"101-500",NA,"40","3/5",65
"männlich",19,"2","ja","in einem Wohnheim",16.5,"zufrieden",315,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Hamburg","200-500 km",1.6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"12","nein",0,0,812,"Fahrrad",0,"501-1000",57000,"40","60",88
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"1","ja","bei meinen Eltern",70,"sehr zufrieden",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",6,0,400,"Fahrrad",0,"101-500",45000,"40","60",38
"weiblich",18,"1","ja","in einer WG",14,"zufrieden",380,"zwischen 10 und 15 min","ja","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","50-100 km",1.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philosophie","12","nein",8,0,900,"Fahrrad",0,"51-100",NA,"40","3/5",74
"männlich",20,"1","ja","in einer WG",18,"zufrieden",600,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",2.3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRC","7","nein",16,0,NA,"ÖPNV",0,"51-100",50000,"40","60",77
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",18,"1","nein","bei meinen Eltern",16,"sehr zufrieden",NA,"Ich wohne nicht in Münster","nein","Volkswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",2.6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"5","nein",0,243,400,"ÖPNV",0,"1-50",40000,"40","60",84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",19,"1","ja","in einem Wohnheim",24,"sehr zufrieden",320,"zwischen 5 und 10 min","nein","Politik und Wirtschaft","nein","nein","Nordrhein-Westfalen","100-200 km",2.3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weiblich",23,"0","ja","zusammen mit meinem Partner/meiner Partnerin",50,"es ist okay",500,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","ja und ich habe dieses Studium abgeschlossen","Nordrhein-Westfalen","50-100 km",1.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",20,0,1350,"Fahrrad",0,"101-500",50000,"40","60",80
"männlich",21,"1","ja","alleine in einer Wohnung",35,"sehr zufrieden",580,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Rheinland-Pfalz","200-500 km",2.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"8","nein",0,800,NA,"ÖPNV",0,"501-1000",60000,"40","60",67
"weiblich",19,"1","ja","alleine in einer Wohnung",22,"sehr zufrieden",350,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","50-100 km",2.3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,812,NA,"ÖPNV",0,"101-500",2500,"40","3/5",39
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",21,"2","ja","in einer WG",10.5,"es ist okay",360,"zwischen 10 und 15 min","nein","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",1.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"11","nein",0,0,NA,"Fahrrad",2,"101-500",3200,"40","60",53
"männlich",24,"1","ja","alleine in einer Wohnung",28,"zufrieden",540,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","ja und ich habe dieses Studium abgeschlossen","Nordrhein-Westfalen","20-50 km",1.1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",0,0,NA,"Fahrrad",0,"1-50",50000,"40","60",79
"weiblich",26,"3","nein","zusammen mit meinem Partner/meiner Partnerin",65,"zufrieden",500,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Ich habe meinen Schulabschluss nicht in Deutschland gemacht",NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"2",NA,0,0,NA,"ÖPNV",0,"101-500",40000,NA,NA,19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",21,"0","ja","in einem Wohnheim",20,"zufrieden",NA,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Schlewsig-Holstein","200-500 km",1.5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","ja",0,0,NA,"Fahrrad",5,"501-1000",40000,"40","60",51
"männlich",20,"0","ja","in einer WG",10,"unzufrieden",415,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Bayern","500-1000 km",2.6,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"4","nein",0,0,1000,"Fahrrad",0,"51-100",80000,"40","60",30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",19,"2","ja","alleine in einer Wohnung",25,"es ist okay",326,"mehr als 30 min","ja","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"13","nein",NA,812,450,"ÖPNV",0,"101-500",50000,"40","3/5",35
"männlich",19,"2","ja","zusammen mit meinem Partner/meiner Partnerin",50,"sehr zufrieden",NA,"zwischen 5 und 10 min","nein","Volkswirtschaftslehre","nein","nein","Hamburg","200-500 km",1.1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",8,0,NA,"Fahrrad",0,"1001-2000",70000,"40","60",67
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",21,"3","ja","alleine in einer Wohnung",25,"zufrieden",280,"zwischen 15 und 20 min","ja","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"9","nein",0,0,700,"ÖPNV",6,"501-1000",40000,"40","3/5",61
"männlich",20,"2","ja","in einer WG",14,"zufrieden",444,"zwischen 5 und 10 min","nein","Politik und Wirtschaft","nein","nein","Niedersachsen","200-500 km",1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"11","nein",9,512,1200,"Fahrrad",25,"1-50",40000,"40","60",90
"weiblich",20,"2","ja","in einer WG",18,"zufrieden",500,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Hessen","200-500 km",1.6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",0,0,520,"Fahrrad",0,"501-1000",2500,"40","3/5",96
"männlich",22,"0","ja","bei meinen Eltern",20,"zufrieden",0,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","0-10 km",2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"10","ja",0,0,200,"zu Fuß",0,"1-50",36000,"40","60",24
"männlich",20,"1","ja","in einer WG",16,"es ist okay",315.06,"zwischen 15 und 20 min","nein","Volkswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",2.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"11","nein",10,0,1265,"Fahrrad",0,"501-1000",350000,"40","60",45
"männlich",18,"1","ja","bei meinen Eltern",18,"sehr zufrieden",0,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","0-10 km",1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"12","nein",18,0,800,"Fahrrad",0,"1-50",50000,"40","3/5",74
"männlich",20,"1","ja","in einem Wohnheim",15,"zufrieden",330,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Rheinland-Pfalz","200-500 km",2.2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",3,0,410,"Fahrrad",1,"101-500",45000,"40","60",98
"männlich",21,"1","ja","in einem Wohnheim",15,"zufrieden",320,"zwischen 10 und 15 min","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","100-200 km",2.4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",20,0,700,"Fahrrad",0,"501-1000",60000,"40","60",60
"männlich",18,"2","ja","in einer WG",15,"es ist okay",380,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,300,"ÖPNV",0,"501-1000",45000,"40",NA,24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",20,"1","ja","in einer WG",12,"zufrieden",380,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","100-200 km",1.2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",10,0,370,"Fahrrad",0,"501-1000",45000,"40","60",75
"männlich",19,"1","ja","alleine in einer Wohnung",25,"zufrieden",500,"zwischen 2 und 5 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","nein",6,0,500,"Fahrrad",4,"101-500",60000,"40","60",85
"männlich",20,"2","ja","in einer WG",20,"unzufrieden",450,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Schlewsig-Holstein","200-500 km",2.4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"12","nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",21,"2","ja","in einem Wohnheim",10,"es ist okay",190,"weniger als 2 min","nein","Volkswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Niedersachsen","200-500 km",1.6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Latein","13","ja",5,0,800,"Fahrrad",3,"501-1000",NA,"40","60",25
"männlich",19,"2","ja","alleine in einer Wohnung",20,"zufrieden",NA,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","100-200 km",1.1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","nein",0,0,NA,"Fahrrad",0,"101-500",80000,"40","60",74
"männlich",20,"2","ja","alleine in einer Wohnung",33,"sehr zufrieden",450,"zwischen 5 und 10 min","nein","Wirtschaft und Recht","nein","ja, aber ich habe dieses Studium nicht abgeschlossen","Nordrhein-Westfalen","50-100 km",2.2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",NA,NA,300,"Fahrrad",0,"501-1000",70000,"40","3/5",98
"männlich",19,"1","ja","in einer WG",18,"es ist okay",NA,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Bayern","500-1000 km",2.1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,"9","nein",0,0,NA,"Fahrrad",0,"101-500",1e+05,"40","60",77
"männlich",20,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"männlich",23,"2","ja","in einer WG",16,"zufrieden",325,"zwischen 5 und 10 min","nein","Wirtschaft und Recht","nein","ja und ich habe dieses Studium abgeschlossen","Nordrhein-Westfalen","20-50 km",1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"13","ja",0,0,1100,"Fahrrad",2,"501-1000",150000,"40","60",16
"männlich",22,"2","ja","in einer WG",16,"zufrieden",290,"zwischen 5 und 10 min","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","50-100 km",1.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,300,750,"Fahrrad",8,"1-50",50000,"40","3/5",78
"männlich",20,"2","ja","in einer WG",NA,"zufrieden",242,"zwischen 10 und 15 min","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","100-200 km",1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BWL","15","nein",0,814,500,"Fahrrad",5,"1-50",6e+05,"40","60",69
"weiblich",18,"3","nein","bei meinen Eltern",NA,"sehr zufrieden",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","20-50 km",1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Latein","13","nein",2,0,50,"ÖPNV",0,"1001-2000",2400,"40","3/5",37
"männlich",23,"0","ja","zusammen mit meinem Partner/meiner Partnerin",55,"sehr zufrieden",300,"zwischen 5 und 10 min","nein","Volkswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","0-10 km",3.2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"10","nein",10,0,1000,"Fahrrad",8,"101-500",50000,"40","3/5",97
"weiblich",20,"1","ja","in einer WG",20,"zufrieden",500,"zwischen 5 und 10 min","nein","Betriebswirtschaftslehre","nein","nein","Niedersachsen","100-200 km",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"Politik","12","nein",0,0,730,"Fahrrad",0,"101-500",NA,"40","60",39
"männlich",19,"1","nein","bei meinen Eltern",7,"es ist okay",0,"Ich wohne nicht in Münster","nein","Betriebswirtschaftslehre","nein","nein","Nordrhein-Westfalen","10-20 km",1.7,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","nein",5,0,250,"ÖPNV",8,"101-500",3000,"40","60",67
"männlich",20,"2","nein","bei meinen Eltern",30,"zufrieden",NA,"Ich wohne nicht in Münster","ja","Betriebswirtschaftslehre","ja und ich habe diese Ausbildung abgeschlossen","nein","Nordrhein-Westfalen","20-50 km",2.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"8","nein",0,0,NA,"ÖPNV",0,"51-100",2500,"40","60",54
"männlich",19,"2","ja","in einer WG",20,"sehr zufrieden",400,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Schlewsig-Holstein","200-500 km",1.6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"12","nein",0,0,1400,"ÖPNV",0,"101-500",60000,"1/4","60",74
"männlich",19,"1","ja","alleine in einer Wohnung",40,"sehr zufrieden",560,"zwischen 5 und 10 min","nein","Wirtschaft und Recht","nein","nein","Nordrhein-Westfalen","100-200 km",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"15","ja",0,0,NA,"Fahrrad",12,"mehr als 2000",85000,"40","3/5",83
"weiblich",19,"3","ja","in einem Wohnheim",21,"sehr zufrieden",750,"zwischen 15 und 20 min","nein","Betriebswirtschaftslehre","nein","nein","Hessen","100-200 km",2.5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","nein",0,0,400,"zu Fuß",100,"51-100",2500,NA,NA,NA
"weiblich",21,"3","ja","in einem Wohnheim",23,"es ist okay",570,"zwischen 20 und 30 min","nein","Betriebswirtschaftslehre","nein","nein","Rheinland-Pfalz","200-500 km",2.3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"13","nein",0,0,700,"ÖPNV",0,"1-50",2500,"40","3/5",14
